interactions,customer_id_encoded,product_id_encoded,rating_normalized
1,59405,16110,1.0
1,49400,5433,1.0
1,4998,10454,0.5
2,64747,9131,0.0
1,6529,14322,0.0
1,10226,2289,0.5
1,58094,2730,0.75
1,13077,14298,1.0
1,8569,19364,1.0
1,35280,18342,1.0
1,33413,19666,0.0
1,34128,8069,1.0
1,29010,1702,0.0
1,32284,15634,1.0
1,39331,14036,1.0
2,6705,14298,0.5
1,30362,8994,0.75
1,39111,7572,1.0
1,12576,12155,1.0
1,3627,2093,1.0
1,13774,11942,1.0
1,25126,14857,1.0
1,15569,13360,1.0
1,11873,2403,0.75
1,33915,19030,1.0
1,39735,11080,0.25
1,29666,12294,1.0
1,2621,10479,0.5
2,13231,8431,1.0
1,54683,495,1.0
1,24283,5133,1.0
1,17955,2526,1.0
1,39427,20232,0.75
1,22255,5330,1.0
1,14466,13508,1.0
1,16066,6864,1.0
1,34400,10407,0.75
1,44955,16098,1.0
1,3900,13761,0.75
1,50815,20131,1.0
2,30793,6375,0.0
1,31767,14722,0.0
1,12223,20024,1.0
1,6695,8092,1.0
1,50517,12301,1.0
1,16829,11024,0.75
1,44853,8462,1.0
1,52568,11957,1.0
1,60234,14850,1.0
1,27293,5659,1.0
1,26783,5579,0.75
1,20558,17127,0.75
1,3520,16694,1.0
1,22266,13079,0.0
1,34023,18803,1.0
1,58002,14006,0.5
1,35072,963,1.0
1,24922,4444,1.0
2,53999,14436,1.0
2,24569,9605,0.75
1,27167,16694,0.75
1,61542,3269,0.75
1,47098,13529,1.0
1,27292,21001,1.0
1,13732,64,1.0
1,24979,8815,1.0
1,59131,17002,1.0
1,22987,18784,1.0
1,14734,20876,1.0
2,37533,1898,0.0
1,20121,1873,1.0
1,30667,8471,0.75
1,31361,12049,1.0
1,13367,1861,0.75
1,43167,2758,1.0
2,58467,5659,1.0
1,25326,4442,1.0
1,9686,3600,0.0
1,16074,6682,1.0
2,9123,19685,0.0
1,26568,8057,1.0
1,26433,3549,1.0
1,36222,14159,1.0
1,64180,8716,1.0
1,8369,2474,0.5
1,19378,20412,1.0
1,23996,15085,0.0
1,10703,13395,1.0
1,8013,9307,1.0
1,44530,18792,0.75
1,53048,5242,1.0
1,9389,21228,1.0
1,1814,295,1.0
1,51639,136,1.0
1,36116,11203,1.0
1,63268,4463,0.75
1,45726,15546,0.5
2,34483,8933,0.75
1,29901,7447,0.75
1,26236,11919,0.75
1,49491,17726,0.5
1,15331,1709,0.5
1,46917,17669,1.0
1,34826,16194,1.0
1,31864,7374,1.0
1,6577,12382,0.5
1,52270,12252,1.0
1,51446,19408,0.0
1,16648,550,1.0
2,57490,11334,1.0
2,8419,18741,0.25
1,14708,12759,1.0
1,63438,17727,1.0
1,8710,5174,0.75
1,43676,4950,1.0
1,30808,16770,1.0
1,20147,7176,0.5
1,48766,1252,1.0
1,49218,5193,1.0
1,18541,12041,1.0
1,8586,20429,1.0
1,50037,495,1.0
1,20921,20821,1.0
1,15633,5133,0.5
1,55070,10118,1.0
1,40724,5279,0.25
1,20418,3986,1.0
1,9230,8033,1.0
1,63410,14470,1.0
1,31923,20787,0.0
1,60278,3629,0.75
1,25216,6771,0.75
1,61341,16637,1.0
2,16920,8460,1.0
1,35771,6036,0.5
1,56561,11649,0.75
1,60415,7613,1.0
1,18429,19968,1.0
1,64131,13759,0.25
1,1869,2812,1.0
1,30739,10466,1.0
1,59105,4173,0.75
1,48191,20609,1.0
1,56782,11461,0.25
1,20839,5659,1.0
1,36350,19611,1.0
1,22684,18938,1.0
1,49791,2285,1.0
1,4799,20461,1.0
2,26813,15977,1.0
1,38935,10941,1.0
2,64928,19233,0.0
1,4084,16042,1.0
1,57121,4959,0.5
6,31683,17884,1.0
1,44895,4490,1.0
1,32775,9110,1.0
1,14793,2538,1.0
1,62906,1854,0.0
1,20981,13944,1.0
1,9465,9052,0.75
1,7493,20602,0.75
1,642,3966,0.0
1,57854,20762,0.5
2,37217,19651,0.0
1,28644,6115,0.75
1,45934,3718,1.0
2,17376,1685,0.75
1,47203,9123,1.0
1,27383,8372,1.0
1,50130,20597,0.5
1,23865,12101,1.0
1,13210,6415,1.0
1,21466,7654,1.0
1,5135,10191,1.0
1,8526,2669,1.0
1,854,17370,0.75
1,50632,1258,0.5
1,56087,9733,1.0
1,2478,5161,1.0
1,35883,2603,1.0
1,3781,17363,1.0
1,29607,4431,0.75
1,28841,13779,1.0
1,42114,9950,0.75
1,26179,1283,1.0
2,9807,7994,0.0
1,56037,18319,1.0
1,34568,1649,1.0
1,31110,18634,1.0
1,11653,646,1.0
1,12429,11141,1.0
1,33085,11938,1.0
1,37664,4369,1.0
1,25871,1790,0.5
1,50893,4859,1.0
1,56605,8408,0.5
1,44928,14019,0.75
1,20229,4442,1.0
1,62413,20127,1.0
1,39490,11602,0.0
1,36382,3522,1.0
1,14173,17184,1.0
1,59008,11592,1.0
1,30472,11235,0.0
1,53267,19945,1.0
1,65054,8440,0.75
1,26201,4442,0.75
5,48997,20626,1.0
1,48041,5643,1.0
1,28910,13882,0.5
1,12385,10231,0.75
1,56383,10629,1.0
1,16230,18959,0.75
1,26176,16769,1.0
2,34636,18288,0.75
1,42222,3222,1.0
1,54009,6448,0.75
1,10347,19487,1.0
1,36325,7141,0.5
1,31336,10454,1.0
1,61712,3688,0.0
1,37636,15100,0.75
1,35621,3983,1.0
1,8672,13195,1.0
1,13474,12223,1.0
1,20990,14962,1.0
1,42320,10652,0.5
1,1643,10231,1.0
1,51625,5538,0.75
1,48329,14899,1.0
1,63427,9558,1.0
1,8594,7176,0.75
1,48395,11682,1.0
1,35507,21262,0.75
1,54068,1987,1.0
1,61563,18389,0.75
1,17911,3771,1.0
1,48209,1661,0.75
1,59502,8055,1.0
1,40302,20158,1.0
1,47960,4196,0.75
1,3301,5193,1.0
1,25093,9882,1.0
1,48686,11624,1.0
1,12257,12255,1.0
2,63292,4443,1.0
1,17249,4714,0.0
1,12522,6286,1.0
1,52889,1779,1.0
1,24615,10519,0.75
1,1993,2035,1.0
1,63465,16185,0.5
1,63618,10594,0.0
1,60082,3782,1.0
1,64066,5663,1.0
1,48986,12649,0.0
1,59636,14109,1.0
2,48751,2000,0.0
1,31844,16310,0.5
1,43117,14083,0.75
1,9788,8878,1.0
1,13913,6623,1.0
1,23933,4388,0.75
1,45062,14002,0.0
1,12153,11451,0.5
1,63803,5016,1.0
1,2747,6171,0.5
1,62008,3068,1.0
1,28076,10789,1.0
1,19112,21250,1.0
2,43146,20343,1.0
2,41303,364,1.0
1,14890,105,1.0
1,33985,17686,1.0
1,31572,2783,1.0
2,7815,7139,0.25
1,52685,599,0.75
1,61984,7281,1.0
1,5690,5496,1.0
1,27108,18550,1.0
1,63773,19077,1.0
1,5658,2161,0.0
1,34062,21250,1.0
1,57875,9047,1.0
1,37897,2796,1.0
1,3658,11451,0.0
1,57128,3055,1.0
1,40838,1114,0.5
1,37581,20597,1.0
1,51173,156,0.75
1,41180,11914,0.0
1,32280,13738,0.25
1,11625,880,0.0
1,56044,11426,0.75
1,59226,612,0.25
1,20039,4714,0.75
1,40118,19611,1.0
2,13783,10492,1.0
1,60298,19145,0.75
2,37417,9912,1.0
1,33856,16157,0.5
1,30216,2802,1.0
1,6657,11951,0.0
1,33931,5895,0.75
1,52955,2911,0.5
1,12872,17563,0.75
1,21754,13152,1.0
1,55757,7370,1.0
1,11912,9955,1.0
1,13113,21138,0.0
1,18334,8214,1.0
1,51281,19982,1.0
1,37071,9510,1.0
1,3856,6475,0.75
1,42764,16821,0.75
1,27773,20687,0.0
1,565,13839,1.0
1,10242,18561,1.0
1,11136,4110,0.25
